author	book_name	number	status	type_
本轩	一剑斩妖	321803	连载	奇幻修真
电线上的鱼	修仙从仙丹入体开始	2311061	连载	古典仙侠
粤官生	踏路真恒	69022	连载	异世争霸
紫嫣脂	霹雳女娇龙	4237	连载	古典仙侠
本轩	天劫！	539606	连载	奇幻修真
本轩	上古绝巅	320120	连载	奇幻修真
金屋藏妖	长生几万年，吃口软饭怎么了？	165318	连载	都市异能
臭豆腐爱西施	神豪：完美具现化能力	15759	连载	游戏异界
魔法振财	圣域最强魔法师	6117	连载	异界大陆
一剑走偏锋	海王的日常生活	352247	连载	都市重生
戎笔江山	玄幻：宗主别苟了，你已经无敌了	85654	连载	东方玄幻
一剑走偏锋	惊悚列车	308876	连载	恐怖悬疑
DUJ	隔绝空间	28718	连载	男生同人
一剑走偏锋	龙帝！	312492	连载	奇幻修真
一起看书吧	漫漫求仙之路	137423	连载	奇幻修真
爱的虚需嘘	异术灵能间闻录	946503	连载	异术超能
青岛可乐	大唐腾飞之路	4982155	连载	历史穿越
肿瘤医生	诡异入侵：我在末世囤积亿万物资	875606	连载	末世危机
一剑走四方	尊我为剑仙	375152	连载	奇幻修真
虚眞	百炼飞升录	17073908	连载	东方玄幻
痞纸儿	重生：回到中学时代	17774	连载	都市重生
一剑走四方	书中有位仙	679220	连载	异术超能
超级学靶	儒道小捕快	219328	连载	东方玄幻
四更不睡	长生仙游	1993870	连载	古典仙侠
一剑走四方	大帝入你神	321536	连载	奇幻修真
酒壹觞	修真时代：我却只想当保安	50270	连载	现代修真
我是神吗	陆地剑仙：剑阁守剑八十年	1266581	连载	东方玄幻
如墨似血	神级插班生	15550852	连载	都市重生
陈小道	御兽修仙，我有座长生仙府	538315	连载	古典仙侠
风之子休	风之子于归	36708	连载	都市生活
陈小道	御兽修仙，我有座长生仙府	538315	连载	古典仙侠
风之子休	风之子于归	36708	连载	都市生活
方千金	全职中医	568342	连载	都市生活
小小码字员	非正常修仙：被攻击我就变强	576242	连载	东方玄幻
陈喵呜	大明：我最强皇孙，请老朱退位	1458848	连载	历史穿越
江左俊杰	将门枭虎	2760811	连载	架空历史
郝在	儒道：一曲侠客行，我以诗开天门	120906	连载	奇幻修真
陪你到久久	神王册	17818	连载	东方玄幻
焕s	崩坏三我是芽衣的第二人格	46834	连载	男生同人
煜不愚	万族图鉴：你管这叫F级天赋？	3327754	连载	游戏异界
冬至初恋	为了当咸鱼只好打爆所有人	130321	连载	异术超能
陈喵呜	三国：狱中讲课，我教曹操当奸雄	605003	连载	历史穿越
文叨	史上第一体修	88356	连载	东方玄幻
zgbjlwd	曹操跟我打天下	220114	连载	架空历史
温柔十里	神朝之主，从觉醒万族绝色图开始	328863	连载	架空历史
一支笔一个奇迹	配角翻身之万神之王	16045	连载	东方玄幻
随行丶	那些年，被我辜负过的女人	60755	连载	都市生活
公子少白	爆款！风起江城	459530	连载	都市生活
小墨鱼的乌托邦	综武：人在北凉，八岁创仙法	160328	连载	传统武侠
香辣牛杂煲	出师当天，我一头磕死满院亲人	239372	连载	民间奇谈
人世几春秋	这位诗仙要退婚	584880	连载	架空历史
豪鸡	消费返现：财务自由后的幸福生活	132663	连载	都市生活
彭三弦	玄门天医	364637	连载	都市异能
天火道人	穿越仙界，被如来神掌拍死	871511	连载	东方玄幻
白马映银鞍	遨游志:横绝神州	172074	连载	异界大陆
良小莫	预世录	55108	连载	灵魂转换
戎笔江山	玄幻：我的宗门亿点强	4160550	连载	东方玄幻
木瓜大师	分手你提的，我当上镇长你哭什么	138933	连载	都市生活
郑晓东	天穹异变	48638	连载	星际战争
请叫我数字先生	我在末世当善人	34597	连载	末世危机
秦至	剑中影之十大剑客	2600580	连载	传统武侠
小九徒	天下藏局	2505664	连载	都市生活
绯月之下	萌战无双：火与剑	238280	连载	架空历史
水冷酒家	乡村小术士	4831563	连载	乡村乡土
烈焰长空7007	齐天峪之谜	166571	连载	恐怖悬疑
柳墨丝情	墨睛	14911	连载	古典仙侠
王宝丁	封神之我主沉浮	109075	连载	洪荒封神
心忆添翼	元灵法则	9434255	连载	东方玄幻
登临九霄	凶猛败家子：开局捡个便宜美娇妻	1043684	连载	架空历史
悠闲葡萄	启航修仙路	171172	连载	都市异能
红游隼	魔都生活部分日记	15677	连载	现实题材
烈焰长空7007	百慕大之咒	59405	连载	探险揭秘
说话的黄瓜	雷霆圣帝	3447358	连载	东方玄幻
夜下思凉	神荒笈	2934388	连载	东方玄幻
撞针	岔路风情	42193	连载	都市生活
吃糖不吃甜	驸马凶猛：从妇科圣手到第一权臣	47165	连载	架空历史
木头	网游：什么法师！你爹我是火箭军	112072	连载	游戏异界
斡侑罪	昆墟	1118693	连载	东方玄幻
最爱吃青柠檬	不正经的魔导师	923897	连载	异界大陆
雕凶黄药师	长生：从下山娶妻开始	1128618	连载	古典仙侠
樵夫在深山1	霸婿奋起	951549	连载	都市异能
尘万骨	戍边八年，皇帝求我登基	408896	连载	架空历史
铁匠打铁	重生1983：我把老婆宠成首富	2864747	连载	都市重生
杜雨豪	修真界祸害：谁教他这么修仙的？	41086	连载	东方玄幻
大眼睛小懒猪	大唐：长乐请自重，我是你姐夫	1217557	连载	架空历史
